Initiative Record ID#,Initative Type,Marketing Projects Record ID#,Page Name,Website,Priority,Assigned To,Initiative CF Status,Content Lauch Date,CF Required Completion Date,CF Actual Start Date,Duration,CF Projected Completion Date,CF Actual Completion Date,Days Overdue,ULDs Req.,ULDs Total Sent to CF  (Queued),ULDs Total Sent to CF (Deficit) or Overage,Contacts Req. For EM,Links Req.,Contacts Total Harvested,Contacts Total Harvested (Deficit) Overage,# of Campaigns,Campaigns,Add Campaign,Contact Finding: History/Notes/Issues,Initiative Email Marketing Status,Email Marketing Projected Send Date,Email Marketing Actual Send Date (Start),Email Marketing Actual Send Date (Completion),Total # Email Sent,Sent Email (Deficit) Overage,Campaign - Total Projected Links From Email Sent,Total # of Links Built,Email Marketing: History/Notes/Issues,Total Projected Links Built To Date,Projected Conversion % - To Date,Actual Conversion %,Performance - Links Builts Vs. Projected to Date,Total ULD Built,Total Actual Contacts Harvested (Ref Only)
818,RMI,835,Alabama,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Complete,,,,7,,04-26-2016,,"2,666.6666666667",1731,-935.66666666667,"1,481.4814814815",10,"1,904",422.51851851852,4,818,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=818&z=bgfb,,Complete,,02-09-2016,04-28-2016,3614,"2,132.5185185185",27.105,15,,26.265399,0.7267680962922%,0.41505257332595%,-11.265399,9,1904
819,RMI,836,Alaska,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Not Started,,,,7,,,,"2,666.6666666667",310,"-2,356.6666666667","1,481.4814814815",10,608,-873.48148148148,4,819,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=819&z=bgfb,,In Progress,,02-23-2016,,891,-590.48148148148,6.6825,4,,6.4253895,0.7211436026936%,0.44893378226712%,-2.4253895,4,608
820,RMI,837,Arizona,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Complete,,,,7,,04-26-2016,,"2,666.6666666667",2164,-502.66666666667,"1,481.4814814815",10,"3,257","1,775.5185185185",4,820,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=820&z=bgfb,,Complete,,02-09-2016,04-28-2016,5560,"4,078.5185185185",41.7,35,,40.48221,0.72809730215827%,0.6294964028777%,-5.48221,28,3257
821,RMI,838,Arkansas,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Not Started,,,,7,,,,"2,666.6666666667",786,"-1,880.6666666667","1,481.4814814815",10,"1,403",-78.481481481482,4,821,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=821&z=bgfb,,Complete,,02-23-2016,04-28-2016,2145,663.51851851852,16.0875,29,,15.46194,0.72083636363636%,1.3519813519814%,13.53806,22,1403
822,RMI,839,California,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Complete,,,,7,,04-26-2016,,"20,000","10,467","-9,533","11,111.111111111",75,"12,993","1,881.8888888889",4,822,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=822&z=bgfb,,Complete,,02-01-2016,04-28-2016,"23,054","11,942.888888889",172.905,93,,168.088488,0.72910769497701%,0.4034007113733%,-75.088488,71,"12,993"
823,RMI,840,Colorado,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Complete,,,,7,,04-26-2016,,"2,666.6666666667",1713,-953.66666666667,"1,481.4814814815",10,"2,189",707.51851851852,4,823,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=823&z=bgfb,,Complete,,02-09-2016,04-28-2016,3819,"2,337.5185185185",28.6425,30,,27.797328,0.72786928515318%,0.78554595443833%,2.202672,24,2189
824,RMI,841,Connecticut,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Complete,,,,7,,04-26-2016,,"2,666.6666666667",947,"-1,719.6666666667","1,481.4814814815",10,"2,013",531.51851851852,4,824,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=824&z=bgfb,,Complete,,02-23-2016,04-28-2016,2910,"1,428.5185185185",21.825,10,,20.9922075,0.72138170103093%,0.34364261168385%,-10.9922075,9,2013
825,RMI,842,Delaware,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Not Started,,,,7,,,,"2,666.6666666667",312,"-2,354.6666666667","1,481.4814814815",10,532,-949.48148148148,4,825,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=825&z=bgfb,,In Progress,,02-23-2016,,803,-678.48148148148,6.0225,3,,5.797716,0.72200697384807%,0.373599003736%,-2.797716,2,532
826,RMI,843,Florida,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Complete,,,,7,,04-26-2016,,"6,933.3333333333",4761,"-2,172.3333333333","3,851.8518518519",26,"5,861","2,009.1481481481",4,826,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=826&z=bgfb,,Complete,,02-01-2016,04-28-2016,"10,477","6,625.1481481481",78.5775,40,,76.375494,0.72898247589959%,0.38178867996564%,-36.375494,34,5861
827,RMI,844,Georgia,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Not Started,,,,7,,,,"8,000",2441,"-5,559","4,444.4444444444",30,"3,207","-1,237.4444444444",4,827,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=827&z=bgfb,,Complete,,02-01-2016,04-28-2016,5497,"1,052.5555555556",41.2275,64,,40.108434,0.72964224122248%,1.164271420775%,23.891566,42,3207
