Marketing Projects Record ID#,Page Name,Page Type,Website,Customer Name,Project Manager,Marketing Project Status,Content Launch Date,Content Status,Content URL,Link Goal,Assign to UPSELL,Projected UPSELL Conversion %,Assign to RMI,Projected RMI Conversion %,Assign to CS,Projected CS Conversion %,# UPSELL ULDs Req. For CF,# RMI ULDs Req. For CF,# CS ULDs Req. For CF,# of Total ULDs Req. For CF,# of UPSELL Contacts Req. For EM,# of RMI Contacts Req. For EM,# of CS Contacts Req. For EM,# of Total Contacts Req. For EM,# of ULDs Available For Re-Harvest,# of Emails Available For Re-Harvest,# of Emails Available For Resend,# ULDs From Resend (Estimate),CF Status,CF Projected Start Date,CF Projected Completion Date,Total UPSELL ULDs Sent to CF (Queued),# of UPSELL ULDs (Deficit) Overage,Total RMI ULDs Sent To CF (Queued),# of RMI ULDs (Deficit) Overage,Total CS ULDs Sent To CF (Queued),# of CS ULDs (Deficit) Overage,Total ULDs Sent to CF (Queued),Total Queued ULDs (Deficit) or Overage,Total UPSELL Contacts Harvested,# of UPSELL Contacts (Deficit) Overage,Total RMI Contacts Harvested,# of RMI Contacts (Deficit) Overage,Total CS Contact Harvested,# of CS Contacts (Deficit) Overage,Total Contacts Harvested,Total Contacts (Deficit) Overage,Email Marketing Status (UPSELL),Email Marketing Projected Send Date (UPSELL),Email Marketing Actual Send Date (UPSELL),Email Marketing Status (RMI & CS),Email Marketing Projected Send Date (RMI & CS),Email Marketing Actual Send Date (RMI & CS), # UPSELL Email Sent,# of UPSELL Email Not Sent,# RMI Email Sent,# of RMI Email Not Sent,# CS Email Sent,# of CS Email Not Sent,Total # Email Sent,Total # Email Not Sent,# of Initiatives,Total # of Links Built,Links,Total Days Overdue,Add Initiative,Actual Conversion % (All Initiatives),UPSELL - Minimum Email Marketing Actual Send Out Date,RMI - Minimum Email Marketing Actual Send Out Date,Campaign - Cleaned For Email Marketing (# of Contacts for EM),Campaign - Actual ULD's (Post Filters),Average Projected Conversion % - To Date,Total Performance - Links Builts Vs. Projected to Date,Total Campaign - Total Projected Links From Email Sent,Total ULD Built
820,Credit Card Repayment Contest,TSD Volume,TheSimpleDollar.com,Soda,Nam Phan <58705208.c6ap>,In-Progress,,In-Progress,,500,,40%,500,1.25%,,1.5%,0,"80,000",0,"80,000",0,"44,444.444444444",0,"44,444.444444444",0,,0,0,On Hold,,,0,0,"216,863","136,863",0,0,"216,863","136,863",0,0,"7,163","-37,281.444444444",0,0,"7,163","-37,281.444444444",Not Planned,,,Not Started,,,,0,0,7163,,0,0,"7,163",1,0,820,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=820&_fid_8=&z=ip6,,,,7163,"19,878",,0,0,0
770,Affordable Online Colleges,Affordable Review,TheSimpleDollar.com,Soda,DONNIE DINH <58705085.b9qm>,Completed,01-04-2016,Complete,www.thesimpledollar.com/affordable-online-colleges/,10,0,40%,10,0.75%,0,1.5%,0,2666.6666666667,0,"2,666.6666666667",0,"1,481.4814814815",0,"1,481.4814814815",0,,0,0,Complete,01-04-2016,01-08-2016,0,0,"286,341","283,674.33333333",0,0,"286,341","283,674.33333333",0,0,"1,538",56.518518518518,0,0,"1,538",56.518518518518,Not Planned,,,Complete,,01-12-2016,,0,1538,0,,0,1538,0,1,46,770,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=770&_fid_8=01-04-2016&z=ip6,2.9908972691808%,,01-12-2016,6312,"15,172",0.75%,34.465,11.535,46
771,Tax Software,TSD High Value,TheSimpleDollar.com,Soda,DONNIE DINH <58705085.b9qm>,Completed,01-04-2016,Complete,www.thesimpledollar.com/best-tax-software/,20,0,40%,20,0.75%,0,1.5%,0,5333.3333333333,0,"5,333.3333333333",0,"2,962.962962963",0,"2,962.962962963",0,,0,0,Complete,01-04-2016,01-08-2016,0,0,1165,-4168.3333333333,0,0,1165,-4168.3333333333,0,0,"4,106","1,143.037037037",0,0,"4,106","1,143.037037037",Not Planned,,,In-Progress,,01-12-2016,,0,2445,1661,,0,2445,"1,661",1,9,771,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=771&_fid_8=01-04-2016&z=ip6,0.3680981595092%,,01-12-2016,4110,1165,0.74696242331288%,-9.26323125,18.3375,9
772,Online Tax Software,Vertical Review,Reviews.com,Soda,DONNIE DINH <58705085.b9qm>,Completed,01-04-2016,Complete,www.reviews.com/online-tax-software/,10,0,40%,10,0.75%,0,1.5%,0,2666.6666666667,0,"2,666.6666666667",0,"1,481.4814814815",0,"1,481.4814814815",0,,0,0,Complete,01-04-2016,01-08-2016,0,0,"47,195","44,528.333333333",0,0,"47,195","44,528.333333333",0,0,"4,766","3,284.5185185185",0,0,"4,766","3,284.5185185185",Not Planned,,,Complete,,01-13-2016,,0,2918,1848,,0,2918,"1,848",1,46,772,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=772&_fid_8=01-04-2016&z=ip6,1.576422206991%,,01-13-2016,"11,989","16,724",0.74387565113091%,24.2937085,21.885,46
773,Multivitamins,Vertical Review,Reviews.com,Soda,Nam Phan <58705208.c6ap>,Completed,01-04-2016,Complete,www.reviews.com/best-multivitamin/,15,0,40%,15,0.75%,0,1.5%,0,4000,0,"4,000",0,"2,222.2222222222",0,"2,222.2222222222",0,,0,0,Complete,01-11-2016,01-15-2016,0,0,"41,003","37,003",0,0,"41,003","37,003",0,0,"11,341","9,118.7777777778",0,0,"11,341","9,118.7777777778",Not Planned,,,Complete,,01-21-2016,,0,8502,2839,,0,8502,"2,839",1,22,773,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=773&_fid_8=01-04-2016&z=ip6,0.25876264408375%,,01-21-2016,"17,073",5652,0.73769272230064%,-40.71863525,63.765,20
774,Eye Cream,Vertical Review,Reviews.com,Soda,Nam Phan <58705208.c6ap>,Completed,01-04-2016,Complete,www.reviews.com/best-eye-cream/,0,0,40%,0,0.75%,0,1.5%,0,0,0,0,0,0,0,0,0,,0,0,Complete,01-11-2016,01-15-2016,0,0,"28,926","28,926",0,0,"28,926","28,926",0,0,279,279,0,0,279,279,Not Planned,,,Not Planned,,,,0,0,279,,0,0,279,1,0,774,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=774&_fid_8=01-04-2016&z=ip6,,,,279,782,,0,0,0
775,Home Security Systems,Vertical Review,Reviews.com,Soda,Nam Phan <58705208.c6ap>,Completed,01-04-2016,Complete,www.reviews.com/home-security-systems/,20,0,40%,20,0.75%,0,1.5%,0,5333.3333333333,0,"5,333.3333333333",0,"2,962.962962963",0,"2,962.962962963",0,,0,0,Complete,01-11-2016,01-15-2016,0,0,"50,796","45,462.666666667",0,0,"50,796","45,462.666666667",0,0,"11,838","8,875.037037037",0,0,"11,838","8,875.037037037",Not Planned,,,Complete,,01-21-2016,,0,4515,7323,,0,4515,"7,323",1,5,775,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=775&_fid_8=01-04-2016&z=ip6,0.11074197120709%,,01-21-2016,"16,474","30,276",0.743625%,-28.57466875,33.8625,5
776,Wireless Routers,Vertical Review,Reviews.com,Soda,Nam Phan <58705208.c6ap>,Completed,01-04-2016,Complete,www.reviews.com/best-wireless-router/,15,0,40%,15,0.75%,0,1.5%,0,4000,0,"4,000",0,"2,222.2222222222",0,"2,222.2222222222",0,,0,0,Complete,01-18-2016,01-22-2016,0,0,"129,284","125,284",0,0,"129,284","125,284",0,0,"2,227",4.7777777777778,0,0,"2,227",4.7777777777778,Not Planned,,,In-Progress,,01-28-2016,,0,1645,582,,0,1645,582,1,5,776,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=776&_fid_8=01-04-2016&z=ip6,0.30395136778116%,,01-28-2016,4408,6355,0.7422%,-7.20919,12.3375,5
777,Electric Toothbrushes,Vertical Review,Reviews.com,Soda,Nam Phan <58705208.c6ap>,Completed,01-04-2016,Complete,www.reviews.com/best-electric-toothbrush/,15,0,40%,15,0.75%,0,1.5%,0,4000,0,"4,000",0,"2,222.2222222222",0,"2,222.2222222222",0,,0,0,Complete,01-18-2016,01-22-2016,0,0,"42,670","38,670",0,0,"42,670","38,670",0,0,"3,025",802.77777777778,0,0,"3,025",802.77777777778,Not Planned,,,Complete,,01-28-2016,,0,3012,13,,0,3012,13,1,0,777,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=777&_fid_8=01-04-2016&z=ip6,0%,,01-28-2016,6133,4784,0.7422%,-22.355064,22.59,0
778,Debt Settlement,TSD High Value,TheSimpleDollar.com,Soda,Nam Phan <58705208.c6ap>,Completed,01-04-2016,Complete,www.thesimpledollar.com/best-debt-settlement-companies/,10,0,40%,10,0.75%,0,1.5%,0,2666.6666666667,0,"2,666.6666666667",0,"1,481.4814814815",0,"1,481.4814814815",0,,0,0,Complete,01-25-2016,01-29-2016,0,0,"20,489","17,822.333333333",0,0,"20,489","17,822.333333333",0,0,"1,699",217.51851851852,0,0,"1,699",217.51851851852,Not Planned,,,Complete,,02-04-2016,,0,1580,119,,0,1580,119,1,3,778,,https://donniedinh.quickbase.com/db/bkig5hmby?act=API_GenAddRecordForm&_fid_48=778&_fid_8=01-04-2016&z=ip6,0.18987341772152%,,02-04-2016,3405,3295,0.73965%,-8.68647,11.85,3
